Rank,Name,Gs,MPG,FG%,FT%,3PM,REB,AST,ATO,STL,BLK,TOV,PTS
117,PJ Washington,65,32.4,.466,.671,1.6,5.8,2.3,1.35,0.9,0.8,1.7,13.2
118,Malik Beasley,66,28.3,.457,.818,3.3,3.4,1.7,1.42,0.9,0.2,1.2,15.6
119,Bojan Bogdanovic,64,32.7,.468,.865,2.5,4.1,2.0,1.00,0.7,0.1,2.0,18.7
120,Derrick Rose,57,26.6,.485,.865,0.9,2.5,5.0,2.28,0.7,0.3,2.2,17.9
121,Killian Hayes,65,27.7,.423,.888,1.7,3.2,5.1,2.04,1.1,0.3,2.5,12.5
122,Elfrid Payton,56,28.5,.452,.634,0.5,4.8,7.1,2.97,1.3,0.4,2.4,10.8
123,Blake Griffin,49,33.2,.435,.763,2.2,6.8,4.9,1.63,0.6,0.4,3.0,21.7
124,Larry Nance Jr.,63,25.6,.531,.694,0.7,7.6,2.3,2.10,1.2,0.5,1.1,9.5
125,Bogdan Bogdanovic,65,29.1,.430,.784,2.3,3.3,3.5,2.05,1.0,0.2,1.7,14.3
126,Kevin Huerter,61,33.7,.421,.805,2.4,4.3,3.8,2.23,1.0,0.5,1.7,12.9
127,James Wiseman,64,27.9,.524,.709,0.0,7.1,1.1,0.78,0.7,1.4,1.4,12.2
128,Marvin Bagley III,57,28.1,.500,.753,0.6,8.4,1.0,0.59,0.6,1.0,1.7,16.7
129,Davis Bertans,65,27.2,.437,.858,3.3,4.3,1.6,1.60,0.6,0.6,1.0,13.9
130,DeAndre Jordan,61,25.2,.653,.673,0.0,11.5,1.9,1.18,0.4,0.9,1.6,9.5
131,Anthony Edwards,66,31.2,.421,.764,1.5,4.2,2.3,1.22,1.1,0.6,1.9,15.2
132,Dillon Brooks,67,31.0,.403,.803,2.1,3.6,2.1,1.17,1.0,0.4,1.8,16.6
133,Derrick White,65,26.2,.463,.849,1.0,3.5,3.7,2.84,0.7,0.9,1.3,11.0
134,Aron Baynes,62,28.7,.482,.776,1.2,7.9,2.0,1.33,0.4,0.9,1.5,12.4
135,Tomas Satoransky,68,27.3,.459,.842,0.9,3.6,5.1,2.99,1.1,0.1,1.7,9.2
136,Wendell Carter Jr.,58,30.7,.511,.754,0.2,9.5,1.5,0.84,0.8,1.1,1.8,12.1
137,RJ Barrett,65,32.4,.421,.692,1.2,5.3,2.7,1.17,1.0,0.3,2.3,16.2
138,Jordan Clarkson,68,25.2,.457,.831,1.9,2.9,2.2,1.47,0.7,0.2,1.5,15.6
139,Goran Dragic,55,30.8,.438,.777,2.1,3.5,5.3,2.21,0.7,0.2,2.4,17.0
140,Derrick Favors,63,22.5,.592,.642,0.1,7.7,1.3,1.30,0.6,1.1,1.0,9.9
141,Patrick Williams,64,27.6,.477,.738,1.2,5.1,1.7,1.56,1.2,0.9,1.1,10.0
142,Harrison Barnes,68,31.4,.442,.815,1.6,4.6,1.9,1.57,0.6,0.2,1.2,14.7
143,Tim Hardaway Jr.,64,30.1,.420,.822,2.7,3.3,2.2,1.70,0.7,0.1,1.3,16.7
144,Jae Crowder,67,29.4,.392,.766,2.0,5.4,2.1,1.91,1.0,0.4,1.1,11.4
