Rank,Name,Gs,MPG,FGA,FGM,FG%,FTA,FTM,FT%,3PM,REB,AST,ATO,STL,BLK,TOV,PTS
45,Kelly Oubre Jr.,65,35.4,14.8,6.65,.449,4.4,3.44,.781,2.4,6.5,1.6,1.00,1.3,0.8,1.6,21.9
46,John Collins,62,31.7,14.8,8.47,.572,3.7,2.89,.781,1.1,8.8,1.8,0.95,0.6,1.2,1.9,19.5
47,De'Aaron Fox,63,34.3,16,7.6,.475,6.7,4.96,.740,1.2,4.2,7.3,2.21,1.6,0.5,3.3,21.5
48,CJ McCollum,66,35.4,19.4,8.79,.453,2.7,2.13,.790,2.6,4.0,3.7,2.05,0.8,0.5,1.8,21.8
49,Zach LaVine,60,34.6,20,9.02,.451,5.6,4.52,.807,2.9,4.8,4.3,1.26,1.4,0.5,3.4,25.0
50,Mitchell Robinson,64,26.2,5.6,4.04,.722,2.4,1.4,.584,0.0,8.1,0.7,1.00,1.0,2.6,0.7,10.4
51,Gordon Hayward,60,34.5,13.5,6.6,.489,2.8,2.34,.837,1.9,6.4,4.3,2.26,0.9,0.4,1.9,21.1
52,Kristaps Porzingis,54,33.9,16.4,7.0,.427,5,3.9,.780,2.5,9.4,1.7,0.95,0.8,2.3,1.8,21.8
53,Malcolm Brogdon,61,35.0,13.8,6.18,.448,3.4,3.06,.899,1.5,5.3,7.4,2.84,0.8,0.2,2.6,18.6
54,Robert Covington,67,32.4,10.3,4.44,.431,1.8,1.45,.805,2.7,6.7,1.3,0.81,1.7,1.3,1.6,14.8
55,Draymond Green,64,32.4,7.3,3.22,.441,1.9,1.41,.742,1.0,7.4,7.1,2.62,1.5,1.0,2.7,9.3
56,Steven Adams,68,31.1,7.6,4.56,.600,3.2,1.76,.550,0.0,9.6,2.0,1.25,1.2,1.1,1.6,12.8
57,Jonas Valanciunas,63,27.5,10.6,6.14,.579,2.9,2.16,.744,0.5,11.6,1.8,1.00,0.4,1.2,1.8,15.7
58,Hassan Whiteside,62,25.4,10.4,6.17,.593,3.5,2.14,.611,0.0,11.8,1.0,0.63,0.5,2.3,1.6,13.4
59,John Wall,57,31.2,5.0,2.19,.439,4.0,2.95,.738,1.3,3.4,8.5,2.43,1.4,0.8,3.5,18.7
60,Clint Capela,64,30.8,9.9,6.35,.641,2.7,1.58,.586,0.0,9.5,1.2,0.86,0.7,1.7,1.4,14.4
61,Christian Wood,63,30.2,8.2,4.58,.558,3.9,2.93,.751,1.2,9.0,1.4,0.73,0.7,1.2,1.9,18.3
62,Montrezl Harrell,68,26.3,12.9,7.71,.598,5.6,3.63,.649,0.0,6.6,1.7,1.06,0.7,1.2,1.6,17.2
63,Dennis Schroder,68,30.4,14.8,6.59,.445,3.6,3.01,.835,1.7,3.6,6.0,2.50,0.8,0.2,2.4,17.9
64,Al Horford,65,30.7,10.6,5.06,.477,1.2,0.94,.780,1.3,7.0,4.2,3.00,0.8,1.1,1.4,12.8
65,Delon Wright,65,31.2,5.6,2.55,.455,1.4,1.11,.793,1.3,5.2,4.7,3.12,1.6,0.5,1.5,13.9
66,Devonte' Graham,65,33.6,15.3,5.97,.390,3.7,3.02,.816,3.2,3.3,7.2,2.66,0.9,0.2,2.7,17.4
67,LaMarcus Aldridge,61,30.5,15,7.62,.508,3.6,3.02,.840,0.6,7.6,2.2,1.58,0.5,1.3,1.4,18.8
68,Lonzo Ball,62,32.9,10.9,4.49,.412,1.2,0.65,.538,2.2,6.2,6.8,2.43,1.5,0.6,2.8,11.9
69,Jerami Grant,67,33.7,8.9,4.34,.488,2.8,2.0,.715,1.7,7.0,1.3,1.30,0.8,1.2,1.0,15.7
70,Victor Oladipo,60,31.3,12.9,5.65,.438,3.1,2.38,.768,1.9,4.8,4.3,1.72,1.7,0.5,2.5,19.1
71,Julius Randle,63,33.1,15.7,7.43,.473,5.5,3.99,.726,1.0,9.8,3.2,1.04,0.8,0.4,3.1,20.3
72,Mike Conley,59,31.5,12.1,5.11,.422,3,2.48,.827,2.3,3.3,6.2,3.27,1.1,0.2,1.9,19.3
73,Eric Bledsoe,63,28.4,11.6,5.58,.481,3.5,2.76,.789,1.4,4.5,5.3,2.21,1.3,0.4,2.4,15.9
74,LaMelo Ball,66,29.9,5.0,2.09,.418,4.0,2.91,.728,2.1,4.0,6.3,2.25,1.1,0.4,2.8,15.7
75,Lou Williams,66,29.0,14.4,6.09,.423,5.2,4.53,.871,1.8,2.9,5.5,2.04,0.8,0.2,2.7,19.8
76,Ricky Rubio,63,30.2,10.6,4.37,.412,3.5,2.98,.850,1.2,4.3,7.4,2.74,1.5,0.2,2.7,13.0
77,Josh Richardson,66,33.4,11.7,4.98,.426,2.6,2.16,.831,2.1,3.6,3.5,1.94,1.1,0.7,1.8,16.8
78,Michael Porter Jr.,62,27.6,7,3.43,.490,1.3,1.04,.797,2.2,7.2,1.5,1.00,0.8,0.8,1.5,17.4
79,Tyrese Haliburton,66,28.7,5.0,2.2,.440,4.0,3.32,.830,1.8,4.9,5.4,2.16,1.4,0.4,2.5,12.3
80,Buddy Hield,68,28.9,16.1,7.04,.437,1.9,1.65,.866,3.2,4.4,2.6,1.30,0.9,0.3,2.0,17.7
81,Kemba Walker,56,30.2,15.9,6.82,.429,4.3,3.69,.857,2.9,3.6,4.9,2.32,1.0,0.4,2.1,20.9
82,Donte DiVincenzo,65,29.2,7.7,3.54,.460,1.3,1.0,.769,2.1,6.1,2.9,1.93,1.7,0.4,1.5,12.2
83,Mason Plumlee,63,28.2,4.7,2.84,.605,2.5,1.33,.530,0.0,8.5,3.7,1.77,1.0,1.2,2.1,11.1
84,Aaron Gordon,60,33.3,12.4,5.44,.439,3.6,2.5,.695,1.6,7.6,3.5,1.94,0.8,0.7,1.8,17.0
85,Dejounte Murray,64,27.5,9.7,4.52,.466,1.7,1.3,.765,0.5,6.6,4.3,2.05,1.8,0.4,2.1,11.3
86,Jaylen Brown,60,34.4,15.6,7.57,.485,4.3,3.09,.718,2.1,6.2,2.1,0.95,1.1,0.4,2.2,19.8
87,Caris LeVert,63,31.4,16.3,6.88,.422,4.4,3.12,.710,1.7,4.4,4.6,1.84,1.3,0.3,2.5,17.4
88,Tyler Herro,65,31.5,11.5,4.96,.431,1.8,1.54,.854,2.9,4.6,3.1,1.73,0.9,0.2,1.8,17.3
89,Markelle Fultz,63,31.7,10.7,5.14,.480,2.2,1.63,.743,0.6,3.8,5.8,2.52,1.4,0.2,2.3,13.8
90,Myles Turner,60,29.7,9.5,4.44,.467,2.7,2.03,.750,1.2,6.9,1.3,1.00,0.8,2.3,1.3,12.7
91,Andrew Wiggins,67,33.8,18.1,8.18,.452,5,3.73,.746,1.6,4.7,2.8,1.40,0.9,0.8,2.0,17.6
92,Jaren Jackson Jr.,58,29.6,13.2,6.24,.473,3.3,2.47,.747,2.4,5.0,1.4,0.78,0.8,1.7,1.8,17.6
93,Brook Lopez,66,26.8,9.9,4.4,.444,2.2,1.75,.797,1.7,4.5,1.5,1.36,0.6,2.2,1.1,11.8
94,Marcus Smart,62,32.4,11.4,4.4,.386,2.5,2.03,.813,2.2,3.7,4.9,2.71,1.7,0.5,1.8,12.5
95,Danilo Gallinari,60,31.2,13.2,5.89,.446,4.8,4.3,.896,2.7,5.8,2.3,1.64,0.7,0.2,1.4,19.5
96,Brandon Clarke,63,24.9,8.3,5.05,.609,1.9,1.51,.794,0.5,6.7,1.6,1.46,0.6,1.0,1.1,13.5
97,Obi Toppin,67,30.8,6.5,3.24,.499,1.1,0.78,.710,1.4,6.1,1.7,0.81,0.8,1.1,2.1,14.9
98,Lauri Markkanen,60,33.9,11.8,5.05,.428,3.1,2.61,.843,2.4,8.1,1.6,0.94,0.8,0.6,1.7,17.7
99,Collin Sexton,66,34.5,16.7,7.58,.454,4.1,3.46,.845,1.6,3.2,3.1,1.24,0.9,0.1,2.5,20.3
100,Evan Fournier,65,31.7,14.1,6.44,.457,3.3,2.71,.822,2.4,2.9,3.3,1.73,1.0,0.2,1.9,17.4
101,Ivica Zubac,68,23.8,5.4,3.2,.592,2.3,1.75,.761,0.0,9.2,1.4,1.27,0.3,1.2,1.1,10.7
102,Joe Ingles,68,30.7,7.7,3.43,.446,1.3,0.97,.747,2.1,4.0,5.3,2.52,1.0,0.2,2.1,10.8
103,Spencer Dinwiddie,65,27.1,16,6.69,.418,7,5.51,.787,1.7,2.8,5.5,2.61,0.6,0.3,2.1,16.3
104,Kevin Love,56,30.3,13,5.77,.444,3.9,3.38,.867,2.5,9.8,2.7,1.23,0.6,0.3,2.2,17.5
105,Richaun Holmes,63,25.2,7.8,5.04,.646,2.7,2.12,.787,0.0,7.3,1.0,0.91,0.9,1.3,1.1,11.3
106,Otto Porter Jr.,55,32.5,10,4.72,.472,1.9,1.5,.791,2.0,6.0,2.3,2.08,1.5,0.6,1.1,15.3
107,Serge Ibaka,63,27.3,12.2,6.31,.517,2.3,1.74,.758,1.1,7.8,1.3,0.77,0.4,1.1,1.7,14.9
108,Coby White,67,31.5,12.2,4.94,.405,2,1.62,.808,2.6,4.3,3.3,1.74,0.9,0.1,1.9,16.6
109,Jarrett Allen,64,26.2,6.6,4.08,.618,3.9,2.61,.670,0.0,8.9,1.3,1.08,0.5,1.4,1.2,10.9
110,Rui Hachimura,65,33.3,11.4,5.49,.482,2.9,2.41,.831,0.6,6.7,1.9,1.72,1.0,0.1,1.1,15.3
111,Miles Bridges,70,31.7,11.6,5.09,.439,2,1.59,.797,1.5,5.8,1.8,1.38,0.8,0.8,1.3,12.8
112,Thomas Bryant,59,28.5,9.1,5.11,.561,2.5,1.9,.760,0.6,8.2,2.2,1.46,0.4,1.1,1.5,13.7
113,Mikal Bridges,69,31.6,6.6,3.21,.486,1.7,1.42,.837,1.2,4.1,2.1,2.10,1.7,0.6,1.0,9.8
114,Kendrick Nunn,65,30.4,13.6,6.13,.451,1.5,1.26,.841,2.2,2.8,3.5,2.05,0.9,0.2,1.7,16.0
115,Terry Rozier,67,29.7,14.9,6.17,.414,3,2.6,.866,2.2,4.1,3.6,1.99,0.9,0.2,1.8,14.8
116,DeMarcus Cousins,50,26.1,6.5,3.09,.475,1.1,0.82,.742,1.0,8.8,3.7,1.23,1.3,1.3,3.0,15.8
117,PJ Washington,65,32.4,10.2,4.75,.466,2.3,1.54,.671,1.6,5.8,2.3,1.35,0.9,0.8,1.7,13.2
118,Malik Beasley,66,28.3,9.7,4.43,.457,1.2,0.98,.818,3.3,3.4,1.7,1.42,0.9,0.2,1.2,15.6
119,Bojan Bogdanovic,64,32.7,14.8,6.93,.468,4.4,3.81,.865,2.5,4.1,2.0,1.00,0.7,0.1,2.0,18.7
120,Derrick Rose,57,26.6,15.1,7.32,.485,2.8,2.42,.865,0.9,2.5,5.0,2.28,0.7,0.3,2.2,17.9
121,Killian Hayes,65,27.7,6.5,2.75,.423,1.1,0.98,.888,1.7,3.2,5.1,2.04,1.1,0.3,2.5,12.5
122,Elfrid Payton,56,28.5,9.8,4.43,.452,1.9,1.2,.634,0.5,4.8,7.1,2.97,1.3,0.4,2.4,10.8
123,Blake Griffin,49,33.2,13.9,6.05,.435,5.4,4.12,.763,2.2,6.8,4.9,1.63,0.6,0.4,3.0,21.7
124,Larry Nance Jr.,63,25.6,7.7,4.09,.531,1.3,0.9,.694,0.7,7.6,2.3,2.10,1.2,0.5,1.1,9.5
125,Bogdan Bogdanovic,65,29.1,12.6,5.42,.430,1.9,1.49,.784,2.3,3.3,3.5,2.05,1.0,0.2,1.7,14.3
126,Kevin Huerter,61,33.7,10.9,4.59,.421,1.1,0.89,.805,2.4,4.3,3.8,2.23,1.0,0.5,1.7,12.9
127,James Wiseman,64,27.9,6.5,3.41,.524,1.1,0.78,.709,0.0,7.1,1.1,0.78,0.7,1.4,1.4,12.2
128,Marvin Bagley III,57,28.1,12.8,6.4,.500,2.4,1.81,.753,0.6,8.4,1.0,0.59,0.6,1.0,1.7,16.7
129,Davis Bertans,65,27.2,11.3,4.94,.437,2.3,1.97,.858,3.3,4.3,1.6,1.60,0.6,0.6,1.0,13.9
130,DeAndre Jordan,61,25.2,5.1,3.33,.653,2.2,1.48,.673,0.0,11.5,1.9,1.18,0.4,0.9,1.6,9.5
131,Anthony Edwards,66,31.2,6.5,2.74,.421,1.1,0.84,.764,1.5,4.2,2.3,1.22,1.1,0.6,1.9,15.2
132,Dillon Brooks,67,31.0,14.7,5.92,.403,2.8,2.25,.803,2.1,3.6,2.1,1.17,1.0,0.4,1.8,16.6
133,Derrick White,65,26.2,8.1,3.75,.463,3.1,2.63,.849,1.0,3.5,3.7,2.84,0.7,0.9,1.3,11.0
134,Aron Baynes,62,28.7,9.1,4.39,.482,1.8,1.4,.776,1.2,7.9,2.0,1.33,0.4,0.9,1.5,12.4
135,Tomas Satoransky,68,27.3,8.5,3.9,.459,1.9,1.6,.842,0.9,3.6,5.1,2.99,1.1,0.1,1.7,9.2
136,Wendell Carter Jr.,58,30.7,8,4.09,.511,3.5,2.64,.754,0.2,9.5,1.5,0.84,0.8,1.1,1.8,12.1
137,RJ Barrett,65,32.4,13,5.47,.421,4.5,3.11,.692,1.2,5.3,2.7,1.17,1.0,0.3,2.3,16.2
138,Jordan Clarkson,68,25.2,12.2,5.58,.457,2.3,1.91,.831,1.9,2.9,2.2,1.47,0.7,0.2,1.5,15.6
139,Goran Dragic,55,30.8,12.3,5.39,.438,4.2,3.26,.777,2.1,3.5,5.3,2.21,0.7,0.2,2.4,17.0
140,Derrick Favors,63,22.5,6.6,3.91,.592,1.4,0.9,.642,0.1,7.7,1.3,1.30,0.6,1.1,1.0,9.9
141,Patrick Williams,64,27.6,6.5,3.1,.477,1.1,0.81,.738,1.2,5.1,1.7,1.56,1.2,0.9,1.1,10.0
142,Harrison Barnes,68,31.4,11,4.86,.442,3.7,3.02,.815,1.6,4.6,1.9,1.57,0.6,0.2,1.2,14.7
143,Tim Hardaway Jr.,64,30.1,12.5,5.25,.420,2.6,2.14,.822,2.7,3.3,2.2,1.70,0.7,0.1,1.3,16.7
144,Jae Crowder,67,29.4,8.7,3.41,.392,1.9,1.46,.766,2.0,5.4,2.1,1.91,1.0,0.4,1.1,11.4
145,Willie Cauley-Stein,63,23.2,5.6,3.07,.549,1.2,0.7,.584,0.0,6.6,1.8,1.98,1.0,0.9,0.9,9.4
146,Terrence Ross,66,26.9,12.3,5.1,.415,2.7,2.29,.847,2.5,3.3,1.4,1.39,1.0,0.3,1.0,14.5
147,Daniel Theis,62,23.6,6.6,3.7,.561,1.8,1.36,.753,0.4,6.5,1.6,1.77,0.6,1.3,0.9,9.1
148,Darius Garland,65,33.3,11.8,4.9,.415,1.2,1.07,.888,2.3,2.0,4.2,1.50,0.8,0.1,2.8,16.1
149,Joe Harris,63,30.9,11.4,5.49,.482,1.3,1.03,.794,2.4,4.2,2.2,1.46,0.6,0.3,1.5,13.8
150,Jeremy Lamb,60,27.9,10.4,4.68,.450,2.4,2.05,.853,1.2,4.6,2.1,1.91,1.1,0.5,1.1,13.3
151,Mo Bamba,64,21.0,4.6,2.17,.471,0.7,0.45,.649,0.8,6.9,1.0,0.91,0.4,2.0,1.1,8.0
152,Troy Brown Jr.,64,27.2,9,4.06,.451,2,1.48,.740,0.9,5.7,2.6,2.37,1.3,0.1,1.1,10.4
153,Will Barton,60,29.0,12.7,5.52,.435,2.3,1.81,.788,1.7,4.7,3.3,2.06,0.7,0.5,1.6,13.1
154,Marc Gasol,57,25.9,6.3,2.72,.432,1.1,0.86,.778,1.2,6.4,3.5,2.20,0.8,0.9,1.6,10.4
155,Monte Morris,67,23.7,7.8,3.73,.478,1.2,0.97,.806,1.0,2.1,3.8,5.43,0.9,0.2,0.7,9.8
156,Nemanja Bjelica,66,24.3,9.1,4.33,.476,1.2,0.96,.803,1.5,5.6,2.2,1.84,0.7,0.5,1.2,9.9
157,Thaddeus Young,69,24.1,9.4,4.54,.483,1.1,0.68,.619,0.8,4.9,1.8,1.38,1.3,0.3,1.3,9.7
158,Ish Smith,65,24.9,10.1,4.54,.450,1.3,0.92,.705,0.8,2.9,4.4,3.67,0.8,0.3,1.2,10.2
159,Taurean Prince,63,30.1,11.5,4.65,.404,1.4,1.14,.811,2.3,5.3,2.1,1.00,1.0,0.4,2.1,13.3
160,Cedi Osman,65,32.1,9.4,4.12,.438,1.4,0.99,.709,2.0,4.1,2.6,1.72,0.9,0.2,1.5,12.3
161,OG Anunoby,66,29.0,8.2,4.0,.488,1.5,0.98,.653,1.3,4.8,1.3,1.18,1.2,0.5,1.1,10.1
162,Seth Curry,65,27.7,9,4.38,.487,1.5,1.26,.841,2.5,2.6,1.9,1.59,0.7,0.2,1.2,13.3
163,Duncan Robinson,65,29.5,9.4,4.4,.468,1,0.89,.885,3.6,3.2,1.4,1.54,0.5,0.2,0.9,12.9
164,Deni Avdija,65,27.1,6.5,2.91,.448,1.1,0.85,.774,1.1,4.5,2.3,1.35,0.8,0.7,1.7,11.7
165,Chris Boucher,60,19.6,4.8,2.2,.459,1.9,1.52,.802,0.8,6.6,0.6,0.86,0.6,1.6,0.7,9.7
166,Nerlens Noel,60,19.3,4.4,2.81,.639,1.7,1.27,.745,0.0,5.5,0.9,0.90,1.1,1.6,1.0,7.5
167,Paul Millsap,61,23.5,8.6,4.15,.482,2.8,2.16,.770,0.8,5.8,1.7,1.32,0.9,0.7,1.3,11.2
168,Dewayne Dedmon,61,23.9,5.8,2.69,.464,0.8,0.66,.820,0.9,7.4,1.1,0.79,0.9,1.1,1.4,9.2
169,JaVale McGee,64,17.6,4.5,2.85,.633,1.2,0.78,.646,0.0,6.0,0.6,0.59,0.5,1.6,1.0,8.3
170,Jarrett Culver,66,26.7,9,3.92,.435,1.9,1.23,.649,1.3,3.8,1.9,1.36,1.0,0.7,1.4,11.4
171,Devin Vassell,65,24.9,6.5,2.93,.450,1.1,0.81,.734,1.7,4.1,1.9,1.36,0.9,0.7,1.4,10.4
172,Justin Holiday,66,28.3,6.7,2.71,.405,0.9,0.75,.828,2.0,3.6,1.6,1.61,1.3,0.5,1.0,9.8
173,Rudy Gay,63,23.2,8.9,4.17,.469,2,1.68,.839,1.0,5.8,2.0,1.43,0.6,0.5,1.4,11.5
174,Aaron Nesmith,66,24.2,6.5,2.87,.441,1.1,0.97,.886,2.6,2.9,2.1,1.51,0.7,0.4,1.4,11.9
175,Isaac Okoro,66,26.9,6.5,3.03,.466,1.1,0.78,.710,0.9,4.8,1.6,1.80,0.9,0.7,0.9,9.5
176,Norman Powell,63,25.1,11.5,5.57,.484,2.9,2.41,.831,1.7,3.1,1.8,1.28,1.0,0.3,1.4,12.7
177,JJ Redick,62,26.7,10.5,4.69,.447,3.1,2.78,.898,2.8,2.4,2.1,1.76,0.4,0.2,1.2,15.2
178,P.J. Tucker,68,33.2,5.9,2.44,.414,0.7,0.54,.777,1.6,6.3,1.3,1.44,1.2,0.4,0.9,7.1
179,Enes Kanter,58,21.4,6,3.4,.566,1.7,1.31,.772,0.1,9.0,1.3,0.93,0.4,0.6,1.4,11.1
180,Cody Zeller,62,23.4,8.3,4.41,.531,3.1,2.2,.710,0.2,6.8,1.6,1.22,0.7,0.6,1.3,10.4
