Rank,Name,Gs,MPG,FGA,FGM,FG%,FTA,FTM,FT%,3PM,REB,AST,ATO,STL,BLK,TOV,PTS
196,Carmelo Anthony,63,28.2,13.5,5.62,.416,2.9,2.36,.814,1.5,5.4,1.2,0.86,0.6,0.4,1.4,13.4
197,Nicolas Batum,58,29.0,3.7,1.57,.424,0.5,0.43,.862,1.3,4.9,3.7,2.47,0.9,0.5,1.5,8.3
198,Trey Burke,63,21.7,6.3,2.85,.452,0.9,0.71,.785,1.1,2.0,3.5,3.88,0.6,0.1,0.9,11.6
199,Bobby Portis,62,22.5,8.9,4.01,.451,1.4,1.09,.778,1.1,6.2,1.5,1.15,0.6,0.3,1.3,11.7
200,Josh Hart,64,26.2,8.2,3.44,.419,1.8,1.3,.725,1.7,5.2,1.5,1.50,1.0,0.4,1.0,9.0
201,Kent Bazemore,64,25.3,7.9,3.1,.392,2.2,1.66,.756,1.3,4.1,1.9,1.20,1.2,0.6,1.6,10.2
202,Shabazz Napier,65,21.4,8.1,3.27,.404,2.7,2.23,.825,1.3,2.4,3.6,2.11,1.1,0.2,1.7,9.7
203,Tristan Thompson,58,25.4,9.9,5.14,.519,2.8,1.72,.615,0.1,8.7,1.7,1.22,0.5,0.6,1.4,9.7
204,Danny Green,65,25.1,7,3.02,.432,0.7,0.54,.769,2.0,3.5,1.4,1.54,1.0,0.6,0.9,8.7
205,Alex Len,64,19.3,5.8,3.07,.530,1.9,1.23,.650,0.5,6.1,1.1,1.00,0.4,0.9,1.1,9.4
206,Kelly Olynyk,65,21.0,5.9,2.82,.478,1.5,1.24,.826,1.4,4.8,1.9,1.46,0.7,0.4,1.3,9.2
207,Kyle Kuzma,63,25.6,11,4.87,.443,2.5,1.85,.739,1.4,4.6,1.6,1.06,0.4,0.4,1.5,13.7
208,Cameron Johnson,62,25.4,7.1,3.07,.433,1,0.79,.793,2.4,3.6,1.3,1.88,0.8,0.4,0.7,10.5
209,Harry Giles III,57,22.3,6.5,3.59,.552,1.1,0.82,.741,0.0,6.1,1.9,1.35,0.8,0.5,1.4,10.4
210,Bruce Brown,61,26.6,7.7,3.38,.439,2.1,1.55,.738,0.5,4.3,3.5,2.33,1.0,0.5,1.5,8.1
211,De'Andre Hunter,67,28.7,10.8,4.69,.434,2.3,1.8,.784,1.5,4.0,1.6,1.06,0.7,0.3,1.5,11.6
212,Cory Joseph,69,24.9,5.7,2.39,.419,1,0.78,.779,0.7,3.0,3.5,3.51,0.9,0.3,1.0,6.7
213,Kevin Knox II,67,28.4,6.2,2.52,.407,1.6,1.13,.708,1.6,4.4,1.3,1.00,0.5,0.5,1.3,12.4
214,Royce O'Neale,66,28.7,5.1,2.27,.446,0.8,0.61,.758,1.2,5.2,2.4,2.39,0.8,0.4,1.0,6.7
215,Luke Kennard,57,29.3,12.2,5.38,.441,2.7,2.34,.867,2.1,3.4,2.9,2.23,0.5,0.2,1.3,12.9
216,Nicolo Melli,63,23.5,5.4,2.42,.448,1.2,0.9,.754,1.7,4.2,1.8,1.64,0.8,0.5,1.1,9.4
217,Tyus Jones,66,19.9,6.6,2.95,.447,0.9,0.71,.791,0.7,1.7,4.3,5.36,1.0,0.1,0.8,6.8
218,Kevin Porter Jr.,60,26.6,8.4,3.84,.457,2,1.51,.754,1.3,3.7,2.5,1.19,1.1,0.3,2.1,11.8
219,Maxi Kleber,66,22.7,6.9,3.17,.460,1.3,1.07,.826,1.3,4.8,1.0,1.43,0.4,1.1,0.7,7.7
220,Jaxson Hayes,62,20.9,4,2.47,.617,3,1.97,.658,0.0,4.9,1.1,1.21,0.5,1.2,0.9,9.0
221,T.J. McConnell,66,19.7,5.8,2.99,.516,0.6,0.49,.818,0.2,2.6,4.3,3.30,0.9,0.2,1.3,6.4
222,Patty Mills,67,23.4,9.1,3.84,.422,1.7,1.47,.866,2.1,1.9,2.4,2.40,0.7,0.1,1.0,10.8
223,Danuel House Jr.,63,27.3,8.6,3.75,.436,1.4,1.11,.794,1.8,3.9,1.2,1.52,0.9,0.5,0.8,9.6
224,Terence Davis II,67,20.3,6.5,3.04,.468,1.1,0.94,.851,1.6,4.1,2.0,1.68,0.6,0.2,1.2,9.3
225,Kyle Anderson,67,20.8,5,2.52,.504,1.2,0.78,.647,0.3,4.6,2.3,2.30,0.9,0.6,1.0,6.1
226,Kira Lewis Jr.,63,20.3,6.5,2.75,.423,1.1,0.86,.780,1.0,2.6,4.1,1.86,0.9,0.1,2.2,10.9
227,D.J. Augustin,63,23.5,8.1,3.52,.435,3.2,2.79,.873,1.3,2.1,4.3,3.08,0.6,0.0,1.4,9.9
228,Cole Anthony,60,26.3,6.5,2.71,.417,1.1,0.85,.770,2.1,2.4,3.4,1.55,0.9,0.1,2.2,12.6
229,Naz Reid,56,18.1,8.1,3.74,.462,1.8,1.32,.732,1.3,4.6,1.2,1.72,0.7,0.8,0.7,11.0
230,Eric Paschall,66,22.8,10.7,5.53,.517,3.5,2.78,.794,0.5,3.8,1.7,1.30,0.4,0.2,1.3,11.9
231,Taj Gibson,65,22.0,4.6,2.63,.572,0.9,0.68,.751,0.1,5.5,1.0,1.10,0.6,0.5,0.9,8.7
232,Jakob Poeltl,65,16.9,4,2.54,.635,1.3,0.68,.526,0.0,5.2,1.4,1.75,0.5,1.2,0.8,5.6
233,George Hill,62,22.4,6.4,3.14,.491,1.7,1.39,.817,1.2,2.8,2.7,2.69,0.8,0.2,1.0,9.0
234,Jalen Smith,66,21.8,6.5,3.15,.484,1.1,0.83,.758,0.7,5.3,0.7,0.50,0.5,1.0,1.4,8.8
235,Nickeil Alexander-Walker,61,21.6,5.7,2.34,.410,0.8,0.58,.724,1.9,3.5,3.2,1.88,0.5,0.3,1.7,10.8
236,Darius Bazley,60,27.3,5.2,2.16,.415,1,0.69,.692,1.2,5.9,0.9,0.75,0.6,1.0,1.2,9.7
237,Langston Galloway,65,26.3,8.2,3.48,.424,1.3,1.11,.857,2.1,2.4,1.5,2.51,0.7,0.2,0.6,10.5
238,Markieff Morris,64,22.6,7.9,3.53,.447,1.5,1.19,.791,1.4,4.4,1.5,1.16,0.6,0.4,1.3,10.2
239,Glenn Robinson III,62,25.7,9.5,4.58,.482,1.4,1.2,.856,1.1,3.7,1.4,1.74,0.8,0.2,0.8,10.3
240,Marvin Williams,63,23.8,4.6,2.0,.435,1,0.82,.820,1.4,4.1,1.2,2.00,0.8,0.6,0.6,8.2
241,Malik Monk,63,24.6,8.9,3.78,.425,1.8,1.48,.825,1.3,3.2,2.4,1.50,0.5,0.3,1.6,11.9
242,Saddiq Bey,61,24.1,6.5,2.91,.448,1.1,0.84,.768,1.0,3.7,1.7,1.55,0.9,0.8,1.1,8.3
243,Jabari Parker,54,22.0,11.3,5.58,.494,2.1,1.52,.723,0.8,5.1,1.8,1.05,0.8,0.4,1.7,12.1
244,Zach Collins,54,27.5,5.8,2.73,.470,0.7,0.54,.767,0.9,6.2,1.5,0.94,0.5,1.1,1.6,9.8
245,Gary Trent Jr.,65,24.4,7.2,3.14,.436,0.8,0.66,.821,1.8,2.0,1.1,2.18,0.9,0.3,0.5,9.8
246,Luguentz Dort,65,29.1,6.1,2.64,.433,1.5,1.19,.796,1.4,2.5,1.0,1.41,1.0,0.1,0.7,11.1
247,Jeff Green,65,23.2,7.2,3.36,.467,1.9,1.62,.853,1.2,3.4,1.3,1.18,0.5,0.4,1.1,10.5
248,DeAndre' Bembry,60,24.0,5.3,2.37,.447,1.1,0.66,.600,0.5,4.2,2.3,1.35,1.4,0.5,1.7,7.6
249,Josh Okogie,65,24.3,6.4,2.73,.427,3.1,2.44,.786,0.9,3.8,1.4,1.17,1.1,0.4,1.2,8.6
250,Jalen Brunson,61,21.9,6.8,3.18,.468,1.3,1.0,.768,0.9,2.6,3.6,2.78,0.5,0.1,1.3,9.7
