Rank,Name,Team,Gs,MPG,FGM,FGA,FG%,FTM,FTA,FT%,3PM,REB,AST,STL,BLK,TOV,PTS
425,Nassir Little,POR,48,11.9,1.333,3.1,0.43,0.5724,0.9,0.636,0.3,2.3,0.5,0.3,0.3,0.3,3.6
426,Jacob Evans,MIN,29,14.4,1.5456,4.6,0.336,0.862,1,0.862,0.4,1.4,1.1,0.4,0.4,0.9,4.4
427,Chimezie Metu,SAS,18,5.8,1.3133,2.3,0.571,0.5383,0.7,0.769,0,1.8,0.6,0.2,0.3,0.6,3.2
428,Ty Jerome,PHO,31,10.6,1.2096,3.6,0.336,0.375,0.5,0.75,0.5,1.5,1.4,0.5,0.1,0.6,3.3
429,Quinn Cook,LAL,44,11.5,2.0727,4.9,0.423,0.2358,0.3,0.786,0.7,1.2,1.1,0.3,0,0.8,5.1
430,Dean Wade,CLE,12,6,0.7612,1.1,0.692,0,0.1,0,0.2,1.6,0.2,0.2,0.3,0.3,1.7
431,Jared Dudley,LAL,45,8.1,0.52,1.3,0.4,0,0,1,0.4,1.2,0.6,0.3,0.1,0.2,1.5
432,Frank Jackson,NOR,59,13.5,2.268,5.6,0.405,0.9711,1.3,0.747,0.8,1.4,1,0.3,0.1,0.8,6.3
433,Jaylen Nowell,MIN,15,10.1,1.253,3.5,0.358,1.0351,1.1,0.941,0.2,0.9,1.3,0.2,0.1,0.2,3.8
434,Troy Daniels,DEN,47,11.3,1.548,4,0.387,0.1875,0.3,0.625,1,1.1,0.4,0.2,0.1,0.3,4.3
435,Vincent Poirier,BOS,21,6.2,0.8024,1.7,0.472,0.2571,0.3,0.857,0,2,0.4,0.1,0.4,0.4,2
436,Justin Wright-Foreman,UTA,4,11.3,1.75,5,0.35,0.75,1,0.75,0.5,1.3,1.8,0.5,0,0.8,4.8
437,Tyson Chandler,HOU,26,8.4,0.5446,0.7,0.778,0.231,0.5,0.462,0,2.5,0.2,0.2,0.3,0.3,1.3
438,Andre Roberson,OKC,7,12.4,1.1316,4.1,0.276,0.15,0.3,0.5,0.4,3.9,0.6,0.1,0.4,0.3,2.9
439,Melvin Frazier,ORL,19,6.6,0.7938,1.8,0.441,0.1,0.2,0.5,0.4,0.5,0.2,0.5,0.1,0.3,2.1
440,Matt Mooney,CLE,4,4.7,0.25,1,0.25,0,0,0,0,0.8,0.3,0.5,0.3,0,0.5
441,Shamorie Ponds,FA,4,2.6,0.78,1.3,0.6,0.5,0.5,1,0.3,0.3,0.5,0,0.3,0,2.3
442,Dwayne Bacon,CHA,39,17.6,2.1924,6.3,0.348,0.924,1.4,0.66,0.5,2.6,1.3,0.6,0.1,0.9,5.7
443,Corey Brewer,SAC,5,6.5,0.4,0.8,0.5,0.1998,0.6,0.333,0,1.6,0.4,0.8,0,0.4,1
444,Derrick Walton Jr.,FA,26,9.5,0.693,1.5,0.462,0.2334,0.3,0.778,0.4,0.6,1,0.3,0,0.2,2
445,Admiral Schofield,WAS,33,11.2,1.064,2.8,0.38,0.3335,0.5,0.667,0.6,1.4,0.5,0.2,0.1,0.2,3
446,Terance Mann,LAC,41,8.8,0.8892,1.9,0.468,0.4669,0.7,0.667,0.2,1.3,1.3,0.3,0.1,0.4,2.4
447,DeMarre Carroll,HOU,24,12.1,1.0612,2.8,0.379,1.242,1.8,0.69,0.3,2.3,1,0.3,0.2,0.7,3.6
448,T.J. Leaf,IND,28,7.9,1.2989,3.1,0.419,0.2628,0.6,0.438,0.2,2.5,0.3,0.4,0.1,0.3,3
449,Adam Mokoka,CHI,11,10.2,1.0725,2.5,0.429,0.2,0.4,0.5,0.5,0.9,0.4,0.4,0,0.2,2.9
450,Wenyen Gabriel,POR,31,7.9,0.6896,1.6,0.431,0.4774,0.7,0.682,0.2,1.7,0.3,0.4,0.2,0.5,2.1
451,Theo Pinson,NYK,33,11.1,1.363,4.7,0.29,0.469,0.5,0.938,0.5,1.6,1.7,0.5,0.1,1,3.6
452,Dennis Smith Jr.,NYK,34,15.8,2.1142,6.2,0.341,0.8144,1.6,0.509,0.5,2.3,2.9,0.8,0.2,1.7,5.5
453,KZ Okpala,MIA,5,5.2,0.6,1,0.6,0.2,0.4,0.5,0,1,0.2,0.4,0.2,0.2,1.4
454,Dzanan Musa,BKN,40,12.2,1.5996,4.3,0.372,1.125,1.5,0.75,0.5,2.2,1.1,0.4,0,0.9,4.8
455,Joakim Noah,LAC,5,10,0.8,1.6,0.5,1.2,1.6,0.75,0,3.2,1.4,0.2,0.2,1.2,2.8
456,Jaylen Hoard,POR,13,7.9,1.1725,2.5,0.469,0.615,1,0.615,0,2.5,0.3,0.4,0,0.3,2.9
457,Naz Long,IND,5,9.4,1.2002,3.4,0.353,0,0,0,0.4,1.4,1.6,0.2,0.2,0.6,2.8
458,Jordan Bell,CLE,29,8.8,1.2006,2.3,0.522,0.6743,1.1,0.613,0.1,2.8,0.6,0.1,0.3,0.7,3.2
459,Alize Johnson,IND,17,6.9,0.7038,1.7,0.414,0.42,0.6,0.7,0.2,2.8,0.4,0.2,0.1,0.4,2
460,Carsen Edwards,BOS,37,9.5,1.148,3.5,0.328,0.342,0.5,0.684,0.6,1.3,0.6,0.3,0.1,0.4,3.3
461,Tyler Cook,DEN,13,4.2,0.6003,0.9,0.667,0.525,0.6,0.875,0,1.1,0.1,0.2,0,0.2,1.8
462,D.J. Wilson,MIL,37,9.8,1.4184,3.6,0.394,0.3055,0.5,0.611,0.5,2.5,0.7,0.1,0.1,0.5,3.6
463,Udonis Haslem,MIA,4,11,1.0192,2.8,0.364,0.75,1,0.75,0.3,4,0.3,0,0,0.3,3
464,Johnathan Motley,LAC,13,3.2,0.8796,1.2,0.733,0.357,0.5,0.714,0.1,0.8,0.5,0.2,0,0.4,2.2
465,Caleb Swanigan,POR,27,10.7,1.0132,1.7,0.596,0.3174,0.6,0.529,0,3.7,1.1,0.1,0.3,1.4,2.4
466,Jarrod Uthoff,WAS,7,7.6,1.0114,2.6,0.389,0.3,0.3,1,0.4,0.9,0,0.1,0,0,2.7
467,Jerian Grant,WAS,6,13.4,1.665,4.5,0.37,0.8568,1.2,0.714,0.3,1,1.5,0.2,0.2,0.5,4.5
468,Amir Coffey,LAC,18,8.8,1.278,3,0.426,0.327,0.6,0.545,0.3,0.9,0.8,0.3,0.1,0.4,3.2
469,Joe Chealey,CHA,4,8.4,0,1.8,0,0.5,0.5,1,0,0,0.3,1,0,0.5,0.5
470,Max Strus,CHI,2,3.1,1.0005,1.5,0.667,0.5,0.5,1,0,0.5,0,0,0,0,2.5
471,Zach Norvell Jr.,FA,5,8.2,0.6,2.4,0.25,0.2,0.2,1,0.6,1.2,0.6,0.4,0,0.6,2
472,Jonah Bolden,FA,7,6.7,0.5824,1.6,0.364,0.3,0.6,0.5,0,1.3,0,0.4,0.3,0.3,1.4
473,Gabe Vincent,MIA,9,9.2,0.8856,4.1,0.216,0,0,0,0.7,0.6,0.7,0.6,0,0.1,2.4
474,Nigel Williams-Goss,UTA,10,5,0.5008,1.6,0.313,0.2,0.2,1,0.2,0.6,0.6,0.3,0.1,0.3,1.4
475,Justin Anderson,BKN,10,10.7,0.9994,3.8,0.263,0.2,0.4,0.5,0.6,2.1,0.8,0,0.6,0.4,2.8
476,Charlie Brown,ATL,10,4,0.6004,1.9,0.316,0.5,0.5,1,0.3,0.4,0.2,0.2,0.2,0.3,2
477,Romeo Langford,BOS,32,11.6,0.875,2.5,0.35,0.576,0.8,0.72,0.2,1.3,0.4,0.2,0.3,0.3,2.5
478,Juwan Morgan,UTA,21,6.4,0.6924,1.2,0.577,0.15,0.2,0.75,0.1,1.4,0.3,0,0.1,0.3,1.7
479,Michael Kidd-Gilchrist,DAL,25,11.2,0.8658,2.6,0.333,0.4716,0.6,0.786,0.2,2.7,0.6,0.1,0.2,0.6,2.4
480,Luc Mbah a Moute,HOU,3,8.2,0.68,1.7,0.4,0.35,0.7,0.5,0,0.7,0,0.7,0,0.3,1.7
481,Justin James,SAC,35,6.6,1.0008,2.4,0.417,0.2856,0.6,0.476,0.3,0.9,0.5,0.2,0.3,0.2,2.5
482,Tariq Owens,PHO,3,5.1,0.34,1.7,0.2,0.7,0.7,1,0,1,0,0.3,0,0,1.3
483,Oshae Brissett,TOR,19,7.1,0.6859,1.9,0.361,0.4,0.5,0.8,0.2,1.4,0.4,0.2,0.1,0.4,1.9
484,Stanley Johnson,TOR,25,6,0.8952,2.4,0.373,0.3378,0.6,0.563,0.3,1.5,0.8,0.2,0.2,0.6,2.4
485,Rayjon Tucker,UTA,19,8.5,1.0695,2.3,0.465,0.9912,1.2,0.826,0.2,1.1,0.3,0.1,0.1,0.4,3.3
486,Jarred Vanderbilt,MIN,11,4.2,0.4375,0.7,0.625,0.2,0.2,1,0,0.8,0.2,0.3,0.1,0.6,1.1
487,B.J. Johnson,ORL,10,8.3,0.8992,3.2,0.281,0.9,1,0.9,0.3,1.5,0.3,0.3,0,0.6,3
488,Ty Wallace,FA,14,11.5,0.9858,3.1,0.318,0.7764,1.2,0.647,0.1,1.6,0.9,0.5,0.1,0.7,2.9
489,Yuta Watanabe,MEM,18,5.8,0.8379,1.9,0.441,0.15,0.4,0.375,0.2,1.1,0.3,0.2,0.1,0.1,2
490,Deonte Burton,OKC,39,9.1,1.1008,3.2,0.344,0.2284,0.4,0.571,0.3,1.5,0.4,0.2,0.3,0.5,2.7
491,Lance Thomas,BKN,7,14,1.1484,3.3,0.348,0.6,0.6,1,0.6,1.9,0.9,0,0,0.9,3.4
492,Malcolm Miller,TOR,28,5.8,0.414,1,0.414,0.1125,0.3,0.375,0.3,0.6,0.4,0.2,0.1,0.1,1.3
493,Thanasis Antetokounmpo,MIL,20,6.4,1.2,2.4,0.5,0.3708,0.9,0.412,0,1.2,0.8,0.4,0.1,0.6,2.8
494,Josh Magette,FA,8,4.7,0.6327,1.9,0.333,0.15,0.3,0.5,0.1,0.8,0.6,0.4,0.1,0.6,1.5
495,Quinndary Weatherspoon,SAS,10,7.8,0.4998,1.7,0.294,0.1,0.2,0.5,0.1,0.7,1.1,0.3,0.1,0.5,1.2
496,Justin Robinson,FA,9,5.4,0.5421,1.3,0.417,0,0,0,0.3,0.6,0.8,0,0.1,0.3,1.4
497,Kevin Hervey,OKC,10,5.2,0.6993,2.7,0.259,0,0,0,0.3,1.2,0.5,0.1,0.1,0,1.7
498,Vlatko Cancar,DEN,14,3.2,0.44,1.1,0.4,0.3,0.3,1,0.1,0.7,0.2,0.1,0.1,0.2,1.2
499,Josh Reaves,DAL,4,7.1,0.7659,2.3,0.333,0.5,0.5,1,0,0.8,0.8,0,0,0,2
500,Khyri Thomas,DET,8,7.7,0.6174,2.1,0.294,0.25,0.5,0.5,0.6,0.1,0.4,0.4,0,0.4,2.1
501,Dewan Hernandez,TOR,6,4.7,0.8211,2.3,0.357,0.48,0.8,0.6,0.2,2.3,0.5,0.2,0,0.5,2.3
502,Louis King,DET,10,6.2,0.8001,2.1,0.381,0,0.3,0,0.4,1,0.5,0.2,0,0.2,2
503,Kostas Antetokounmpo,LAL,5,4,0.6,0.6,1,0.2,0.4,0.5,0,0.6,0.4,0,0,0.2,1.4
504,Justin Patton,DET,5,4.8,0.8,2,0.4,0,0,0,0.2,1,0.4,0,0,0.4,1.8
505,Antonius Cleveland,DAL,11,4.2,0.3718,1.3,0.286,0.3,0.5,0.6,0,0.6,0.1,0.1,0.3,0.2,1
506,Devon Hall,OKC,11,7.3,0.54,2.7,0.2,0.35,0.7,0.5,0.4,0.6,1.2,0.4,0.1,0.5,1.8
507,Kyle Guy,SAC,3,3.2,0.68,1.7,0.4,0,0,0,0,0.3,0.3,0,0,0,1.3
508,Zhaire Smith,PHI,7,4.6,0.4368,1.6,0.273,0.3,0.6,0.5,0,0.3,0.3,0.4,0,0.3,1.1
509,Brian Bowen II,IND,6,5.2,0.51,1.7,0.3,0,0,0,0,1.2,0,0,0.2,0.2,1
510,Jordan Bone,DET,10,5.3,0.5,2,0.25,0,0,0,0.2,0.4,0.8,0.1,0,0.2,1.2
511,Jalen Lecque,PHO,5,6.3,0.8,2,0.4,0.4,0.4,1,0,0.4,0.4,0,0,0.4,2
512,Tyler Zeller,SAS,2,1.9,0.5,2,0.25,0,0,0,0,2,0,0,0,0,1
513,Kyle Alexander,MIA,2,6.7,0.5,1,0.5,0,0,0,0,1.5,0,0,0,0.5,1
514,J.R. Smith,LAL,6,13.2,1.1766,3.7,0.318,0.3,0.3,1,0.2,0.8,0.5,0.2,0,0.7,2.8
515,Marial Shayok,PHI,4,7,0.75,3,0.25,0.75,1,0.75,0.5,1.8,0.3,0,0.3,0.8,2.8
516,Vic Law,ORL,8,7.7,0.7659,2.3,0.333,0.2664,0.8,0.333,0.1,1.4,0.4,0.3,0,0.3,1.9
517,Ignas Brazdeikis,NYK,9,5.9,0.6552,2.4,0.273,0.48,0.6,0.8,0.1,0.6,0.4,0,0.1,0.2,1.9
518,J.P. Macura,FA,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
519,Henry Ellenson,FA,5,3,0.2002,1.4,0.143,0,0,0,0,1.2,0.2,0,0,0,0.4
520,Amile Jefferson,FA,18,4.1,0.2856,0.8,0.357,0.2856,0.8,0.357,0,1.3,0.2,0.1,0.2,0.2,0.8
521,Moses Brown,POR,9,3.6,0.44,1.1,0.4,0.3375,0.9,0.375,0,1.6,0.1,0.1,0.1,0.3,1.2
522,Daryl Macon,FA,4,3.5,0.2664,0.8,0.333,0,0,0,0.3,0,0.3,0,0,0.5,0.8
523,Michael Frazier,HOU,13,11.1,0.5302,2.2,0.241,0.7073,1.1,0.643,0.3,0.8,0.2,0.2,0,0.4,2.1
524,Jared Harper,FA,3,2.6,0.325,1.3,0.25,0,0,0,0,0,0,0,0,0,0.7
525,Isaiah Roby,OKC,3,3.8,0,0.3,0,0,0,0,0,0.7,0,0,0,0.3,0
526,Stanton Kidd,FA,4,3.8,0,0.8,0,0,0,0,0,0.8,0.3,0,0,0.5,0
527,Malik Newman,FA,1,3.7,0,2,0,2,2,1,0,0,0,0,0,1,2
528,William Howard,HOU,2,6.6,0,2,0,0,0,0,0,1,0.5,0,0,0.5,0
529,Josh Gray,NOR,2,11.4,0.5,1,0.5,0,0,0,0,1,1,0,0,2.5,1
