Rank,Name,Team,Gs,MPG,FGM,FGA,FG%,FTM,FTA,FT%,3PM,REB,AST,STL,BLK,TOV,PTS
309,Grayson Allen,MEM,39,19,3.0225,6.5,0.465,1.0212,1.2,0.851,1.5,2.3,1.4,0.3,0.1,0.9,8.5
310,Isaiah Thomas,FA,40,23.1,4.3656,10.7,0.408,1.5504,1.9,0.816,2,1.7,3.7,0.3,0.2,1.9,12.2
311,Luguentz Dort,OKC,36,22.8,2.3973,6.1,0.393,1.188,1.5,0.792,0.8,2.3,0.8,0.9,0.1,0.6,6.8
312,E'Twaun Moore,NOR,56,18.2,3.3228,7.8,0.426,0.5512,0.8,0.689,1.1,2.3,1.4,0.6,0.2,0.7,8.3
313,Isaiah Hartenstein,FA,23,11.6,1.9053,2.9,0.657,0.8148,1.2,0.679,0,3.9,0.8,0.4,0.5,0.7,4.7
314,Timothe Luwawu-Cabarrot,BKN,47,18.1,2.4795,5.7,0.435,1.4484,1.7,0.852,1.3,2.7,0.6,0.4,0.1,0.8,7.8
315,Keita Bates-Diop,DEN,44,16.9,2.2631,5.3,0.427,1.224,1.7,0.72,0.8,2.9,0.7,0.4,0.5,0.4,6.5
316,Kyle O'Quinn,PHI,29,10.8,1.4326,2.9,0.494,0.385,0.7,0.55,0.2,4,1.8,0.2,0.8,0.7,3.5
317,Mike Scott,PHI,68,17.7,2.1726,5.1,0.426,0.4055,0.5,0.811,1.2,3.6,0.8,0.3,0.1,0.4,6
318,Boban Marjanovic,DAL,41,10.3,2.9223,5.1,0.573,1.0556,1.4,0.754,0.1,4.8,0.5,0.2,0.2,0.7,7
319,Bismack Biyombo,CHA,53,19.4,2.8236,5.2,0.543,1.6884,2.8,0.603,0,5.8,0.9,0.2,0.9,0.9,7.4
320,Sindarius Thornwell,NOR,2,17.7,2.9975,5.5,0.545,1,2,0.5,1,2,2,0.5,0.5,1,8
321,Al-Farouq Aminu,ORL,18,21.1,1.3968,4.8,0.291,1.048,1.6,0.655,0.5,4.8,1.2,1,0.4,0.9,4.3
322,Darius Bazley,OKC,61,18.5,2.0488,5.2,0.394,0.694,1,0.694,0.8,4,0.7,0.4,0.7,0.7,5.6
323,Mario Hezonja,POR,54,16.3,1.7179,4.1,0.419,0.902,1.1,0.82,0.5,3.4,0.9,0.7,0.2,0.8,4.8
324,Jarrett Culver,MIN,63,23.9,3.636,9,0.404,0.8778,1.9,0.462,1,3.4,1.7,0.9,0.6,1.3,9.2
325,Cody Martin,CHA,48,18.8,1.849,4.3,0.43,0.9044,1.4,0.646,0.4,3.3,2,0.8,0.2,0.9,5
326,Garrison Mathews,WAS,18,12.6,1.3299,3.1,0.429,1.7328,1.9,0.912,1.1,1.3,0.6,0.4,0.1,0.4,5.4
327,Wesley Iwundu,ORL,52,18.3,1.872,4.5,0.416,1.5276,1.9,0.804,0.5,2.5,1.2,0.5,0.3,0.5,5.8
328,JaKarr Sampson,IND,34,13.8,2.0094,3.4,0.591,0.5336,0.8,0.667,0.1,2.6,0.6,0.5,0.4,0.4,4.6
329,Cristiano Felicio,CHI,22,17.5,1.575,2.5,0.63,0.783,1,0.783,0,4.7,0.7,0.5,0.1,0.8,3.9
330,Chandler Hutchison,CHI,28,18.8,2.8791,6.3,0.457,1.652,2.8,0.59,0.4,3.8,0.9,1,0.3,1,7.8
331,Tyler Johnson,BKN,39,18.2,2.4832,6.4,0.388,1.092,1.3,0.84,1,2,1.9,0.4,0.2,0.7,7
332,Blake Griffin,DET,18,28.5,4.8928,13.9,0.352,4.1904,5.4,0.776,1.5,4.7,3.3,0.4,0.4,2.2,15.5
333,Damyean Dotson,NYK,48,17.4,2.484,6,0.414,0.4669,0.7,0.667,1.2,1.9,1.2,0.5,0.1,0.4,6.7
334,Abdel Nader,OKC,55,15.8,2.2464,4.8,0.468,0.9276,1.2,0.773,0.9,1.8,0.7,0.4,0.4,0.8,6.3
335,Devontae Cacok,LAL,1,8.9,3,6,0.5,0,0,0,0,5,1,0,0,0,6
336,Khem Birch,ORL,48,19.2,1.53,3,0.51,1.3713,2.1,0.653,0,4.6,1,0.4,0.5,0.6,4.4
337,Sterling Brown,MIL,52,14.7,1.8179,4.9,0.371,0.64,0.8,0.8,0.8,3.5,1,0.6,0.1,0.8,5.1
338,Kelan Martin,MIN,31,16,2.2736,5.8,0.392,0.968,1,0.968,0.8,3.1,0.7,0.2,0.3,0.6,6.4
339,RJ Barrett,NYK,56,30.4,5.226,13,0.402,2.763,4.5,0.614,1.1,5,2.6,1,0.3,2.2,14.3
