Rank,Name,Gs,MPG,FGA,FGM,FG%,FTA,FTM,FT%,3PM,REB,AST,ATO,STL,BLK,TOV,PTS,Taken,Rank_zscore,Gs_zscore,MPG_zscore,FGA_zscore,FGM_zscore,FG%_zscore,FTA_zscore,FTM_zscore,FT%_zscore,3PM_zscore,REB_zscore,AST_zscore,ATO_zscore,STL_zscore,BLK_zscore,TOV_zscore,PTS_zscore,SUM_zscore
54,Robert Covington,67,32.4,10.3,4.44,0.431,1.8,1.45,0.805,2.7,6.7,1.3,0.81,1.7,1.3,1.6,14.8,True,-0.9907409878890049,1.0680545642838806,0.8449573047802965,-0.05277142730247595,-0.2499144111034076,-0.7254180978825309,-0.5451580475752515,-0.49551037783057694,0.3809268126194404,1.3329880753458694,0.4798940917743155,-0.9079091190916617,-1.2493013357660592,2.227835674163494,1.322022760519287,-0.21631580189335323,0.018602858171038437,4.345258857512606
55,Draymond Green,64,32.4,7.3,3.22,0.441,1.9,1.41,0.742,1.0,7.4,7.1,2.62,1.5,1.0,2.7,9.3,False,-0.976884470575872,0.20018790858191915,0.8449573047802965,-0.7351605734551845,-0.8374270932873088,-0.560670165042203,-0.4942277367031242,-0.5203305730735431,-0.41488129173872373,-0.5117528299683425,0.7643841529548885,2.0169258568757007,1.2188651610648082,1.64585143326394,0.7225565752777723,1.1833746809459937,-0.9466397827790702,1.5323992678979679
56,Steven Adams,68,31.1,7.6,4.56,0.6,3.2,1.76,0.55,0.0,9.6,2.0,1.25,1.2,1.1,1.6,12.8,False,-0.963027953262739,1.3573434495178678,0.5589338446682289,-0.6669216588399136,-0.19212627842958163,2.058821967119006,0.1678663046345322,-0.3031538646975889,-2.840201228830269,-1.5968945389767024,1.6584957738081172,-0.5549117944059456,-0.6493050602933622,0.7728750719146081,0.9223786370249439,-0.21631580189335323,-0.3323944658108193,0.30448522373629217
57,Jonas Valanciunas,63,27.5,10.6,6.14,0.579,2.9,2.16,0.7440000000000001,0.5,11.6,1.8,1.0,0.4,1.2,1.8,15.7,True,-0.9491714359496061,-0.08910097665206798,-0.23313112179596032,0.015467487312794634,0.5687508017757986,1.7128513081543173,0.01507537201814986,-0.054951912267926985,-0.38961754239401875,-1.0543236844725226,2.4713245200383254,-0.6557681728875787,-0.9902120349937582,-1.5550618916836094,1.1222006987721151,0.03817337680470977,0.17655165396287414,1.7899835126851926
58,Hassan Whiteside,62,25.4,10.4,6.17,0.593,3.5,2.14,0.611,0.0,11.8,1.0,0.63,0.5,2.3,1.6,13.4,True,-0.9353149186364732,-0.3783898618860551,-0.6951690189000709,-0.03002512243071909,0.5831978349442553,1.9434984141307763,0.32065723725091433,-0.06736200988941009,-2.0696568738168097,-1.5968945389767024,2.552607394661347,-1.0591936868141116,-1.4947543575503441,-1.2640697712338322,3.3202433779910017,-0.21631580189335323,-0.227095268616262,1.8157548492187598
59,John Wall,57,31.2,5.0,2.19,0.439,4.0,2.95,0.738,1.3,3.4,8.5,2.43,1.4,0.8,3.5,18.7,True,-0.9214584013233402,-1.824834288055991,0.5809356492922337,-1.2583255855055941,-1.3334418987376517,-0.5936197516102686,0.5753087916115514,0.43524694378065526,-0.465408790428131,-0.18621031726583454,-0.8612733395055282,2.722920506247133,0.9597758602925073,1.3548593128141626,0.3229124517834293,2.2013313957382454,0.7030476399356607,0.7958963162323771
60,Clint Capela,64,30.8,9.9,6.35,0.6409999999999999,2.7,1.58,0.586,0.0,9.5,1.2,0.86,0.7,1.7,1.4,14.4,True,-0.9076018840102074,0.20018790858191915,0.492928430796213,-0.1437566467895038,0.6698800339549946,2.7342884917643477,-0.08678524972610481,-0.41484474329093673,-2.385453740625605,-1.5968945389767024,1.617854336496607,-0.9583373083324783,-1.18111994082598,-0.682085530334278,2.1213110075079724,-0.4708049805914165,-0.05159660662533316,1.269891091465947
61,Christian Wood,63,30.2,8.2,4.58,0.5579999999999999,3.9,2.93,0.7509999999999999,1.2,9.0,1.4,0.73,0.7,1.2,1.9,18.3,True,-0.8937453666970744,-0.08910097665206798,0.36091760305218124,-0.5304438296093721,-0.18249492298394368,1.366880649189629,0.524378480739424,0.4228368461591721,-0.30119441968755883,-0.29472448816667063,1.414647149939055,-0.8574809298508452,-1.3583915676701859,-0.682085530334278,1.1222006987721151,0.16541796615374113,0.6328481751392894,2.235673338846995
62,Montrezl Harrell,68,26.3,12.9,7.71,0.598,5.6,3.63,0.649,0.0,6.6,1.7,1.06,0.7,1.2,1.6,17.2,False,-0.8798888493839414,1.3573434495178678,-0.49715277728402313,0.5386324993632045,1.32481220425836,2.02587238055094,1.3901937655655896,0.8571902629110802,-1.589645636267441,-1.5968945389767024,0.43925265446280487,-0.7061963621283954,-0.9083943610656631,-0.682085530334278,1.1222006987721151,-0.21631580189335323,0.43979964694926743,-0.33138088507833585
63,Dennis Schroder,68,30.4,14.8,6.59,0.445,3.6,3.01,0.835,1.7,3.6,6.0,2.5,0.8,0.2,2.4,17.9,True,-0.8660323320708085,1.3573434495178678,0.40492121230019157,0.9708122919265865,0.7854562993026474,-0.49477099190607193,0.3715875481230418,0.47247723664510427,0.7598830527899934,0.24784636633750934,-0.7799904648825073,1.4622157752267182,1.055229813208618,-0.3910934098845005,-0.8760199186995998,0.8016409128988987,0.5626487103429175,-0.31092179357444
64,Al Horford,65,30.7,10.6,5.06,0.47700000000000004,1.2,0.94,0.78,1.3,7.0,4.2,3.0,0.8,1.1,1.4,12.8,False,-0.8521758147576756,0.4894767938159063,0.4709266261722075,0.015467487312794634,0.04865760771136147,0.03242239318297689,-0.850739912808016,-0.8119678671783959,0.0651299458106451,-0.18621031726583454,0.6018184037088466,0.5545083688920196,1.73704376260941,-0.3910934098845005,0.9223786370249439,-0.4708049805914165,-0.3323944658108193,1.7373645362496946
65,Delon Wright,65,31.2,5.6,2.55,0.455,1.4,1.11,0.7929999999999999,1.3,5.2,4.7,3.12,1.6,0.5,1.5,13.9,False,-0.8383192974445426,0.4894767938159063,0.5809356492922337,-1.1218477562750524,-1.1600775007161728,-0.3300230590657442,-0.7488792910637612,-0.7064820373957894,0.22934431655121726,-0.18621031726583454,-0.12972746789834066,0.8066493150961025,1.9006791104656002,1.9368435537137174,-0.2765537334580853,-0.34356039124238485,-0.13934593762079758,2.2545370612946196
66,Devonte' Graham,65,33.6,15.3,5.97,0.39,3.7,3.02,0.816,3.2,3.3,7.2,2.66,0.9,0.2,2.7,17.4,True,-0.8244627801314097,0.4894767938159063,1.1089789602683602,1.084543816285371,0.48688428048787796,-1.4008846225278737,0.42251785899516925,0.47868228545584596,0.519877434015309,1.8755589298500495,-0.9019147768170387,2.067354046116517,1.2734102770168716,-0.10010128943472332,-0.8760199186995998,1.1833746809459937,0.4748993793474531,0.4753945009040992
67,LaMarcus Aldridge,61,30.5,15.0,7.62,0.508,3.6,3.02,0.84,0.6,7.6,2.2,1.58,0.5,1.3,1.4,18.8,True,-0.8106062628182767,-0.6676787471200423,0.42692301692419715,1.0163049016701002,1.2814711047529903,0.543140984987992,0.3715875481230418,0.47868228545584596,0.8230424261517524,-0.9458095135716865,0.845667027577909,-0.4540554159243123,-0.19930785368883933,-1.2640697712338322,1.322022760519287,-0.4708049805914165,0.7205975061347538,2.0613409852332794
68,Lonzo Ball,62,32.9,10.9,4.49,0.41200000000000003,1.2,0.65,0.5379999999999999,2.2,6.2,6.8,2.43,1.5,0.6,2.8,11.9,True,-0.7967497455051438,-0.3783898618860551,0.9549663279003228,0.08370640192806562,-0.22583602248931336,-1.0384391702791527,-0.850739912808016,-0.9919142826899007,-2.991783724898492,0.7904172208416895,0.2766869052167635,1.8656412891532508,0.9597758602925073,1.64585143326394,-0.07673167171091384,1.3106192702950248,-0.4903432616026553,-1.3293202503105956
69,Jerami Grant,67,33.7,8.9,4.34,0.488,2.8,2.0,0.715,1.7,7.0,1.3,1.3,0.8,1.2,1.0,15.7,False,-0.7828932281920109,1.0680545642838806,1.1309807648923658,-0.37121969550707323,-0.29807118833159646,0.2136451193073365,-0.035854938853977586,-0.15423269323979183,-0.7559419078922227,0.24784636633750934,0.6018184037088466,-0.9079091190916617,-0.5811236653532829,-0.3910934098845005,1.1222006987721151,-0.9797833379875425,0.17655165396287414,1.2869011432078392
70,Victor Oladipo,60,31.3,12.9,5.65,0.43799999999999994,3.1,2.38,0.768,1.9,4.8,4.3,1.72,1.7,0.5,2.5,19.1,True,-0.7690367108788779,-0.9569676323540294,0.6029374539162393,0.5386324993632045,0.3327825933576747,-0.6100945448943023,0.11693599376240477,0.0815591615683869,-0.08645255025757664,0.46487470813918125,-0.29229321714438244,0.604936558132836,-0.008399947856617681,2.227835674163494,-0.2765537334580853,0.9288855022479304,0.7732471047320326,1.8766144971652663
71,Julius Randle,63,33.1,15.7,7.43,0.473,5.5,3.99,0.726,1.0,9.8,3.2,1.04,0.8,0.4,3.1,20.3,True,-0.7551801935657451,-0.08910097665206798,0.9989699371483339,1.1755290357723986,1.1899732280194317,-0.03347677995315513,1.3392634546934625,1.0805720200977762,-0.6169912864963527,-0.5117528299683425,1.7397786484311386,0.050226476483853616,-0.9356669190416947,-0.3910934098845005,-0.47637579520525675,1.6923530383421197,0.983845499121147,-0.9481925158135884
72,Mike Conley,59,31.5,12.1,5.11,0.42200000000000004,3.0,2.48,0.8270000000000001,2.3,3.3,6.2,3.27,1.1,0.2,1.9,19.3,False,-0.7413236762526121,-1.2462565175880165,0.6469410631642496,0.35666206038914877,0.07273599632545612,-0.8736912374388249,0.0660056828902773,0.14360964967580242,0.6588280554111803,0.8989313917425251,-0.9019147768170387,1.5630721537083514,2.1052232952858376,0.48188295146483134,-0.8760199186995998,0.16541796615374113,0.8083468371302183,1.5940174903479014
73,Eric Bledsoe,63,28.4,11.6,5.58,0.48100000000000004,3.5,2.76,0.789,1.4,4.5,5.3,2.21,1.3,0.4,2.4,15.9,True,-0.7274671589394791,-0.08910097665206798,-0.03511488017991339,0.24293053603036407,0.2990728492979425,0.09832156631910799,0.32065723725091433,0.3173510163765656,0.17881681786181142,-0.07769614636499868,-0.4142175290789136,1.1092184505410019,0.6597777225561585,1.0638671923643856,-0.47637579520525675,0.8016409128988987,0.2116513863610601,0.8919450298992991
74,LaMelo Ball,66,29.9,5.0,2.09,0.418,4.0,2.91,0.728,2.1,4.0,6.3,2.25,1.1,0.4,2.8,15.7,False,-0.7136106416263462,0.7787656790498935,0.2949121891801653,-1.2583255855055941,-1.3815986759658403,-0.9395904105749568,0.5753087916115514,0.410426748537689,-0.5917275371516492,0.6819030499408534,-0.6174247156364657,1.6135003429491679,0.714322838508222,0.48188295146483134,-0.47637579520525675,1.3106192702950248,0.17655165396287414,-0.9818997305456266
75,Lou Williams,66,29.0,14.4,6.09,0.423,5.2,4.53,0.871,1.8,2.9,5.5,2.04,0.8,0.2,2.7,19.8,False,-0.6997541243132133,0.7787656790498935,0.0968959475641184,0.8798270724395586,0.5446724131617043,-0.857216444154793,1.1864725220770802,1.4156446558778197,1.2146305409946585,0.35636053723834543,-1.0644805260630803,1.210074829022635,0.42796097975988934,-0.3910934098845005,-0.8760199186995998,1.1833746809459937,0.8960961681256827,-0.6950229043666456
76,Ricky Rubio,63,30.2,10.6,4.37,0.41200000000000003,3.5,2.98,0.85,1.2,4.3,7.4,2.74,1.5,0.2,2.7,13.0,False,-0.6858976070000803,-0.08910097665206798,0.36091760305218124,0.015467487312794634,-0.28362415516313977,-1.0384391702791527,0.32065723725091433,0.45386209021287977,0.9493611728752706,-0.29472448816667063,-0.49550040370193454,2.1682104245981506,1.3825005089209985,1.64585143326394,-0.8760199186995998,1.1833746809459937,-0.2972947334126336,0.5780696355313764
77,Josh Richardson,66,33.4,11.7,4.98,0.426,2.6,2.16,0.831,2.1,3.6,3.5,1.94,1.1,0.7,1.8,16.8,False,-0.6720410896869474,0.7787656790498935,1.064975351020349,0.2656768409021209,0.010132185928810968,-0.8077920643026947,-0.13771556059823226,-0.054951912267926985,0.7093555541005861,0.6819030499408534,-0.7799904648825073,0.2015110442063033,0.2915981898797308,0.48188295146483134,0.12309039003625763,0.03817337680470977,0.36960018215289614,0.9413872659118162
78,Michael Porter Jr.,62,27.6,7.0,3.43,0.49,1.3,1.04,0.797,2.2,7.2,1.5,1.0,0.8,0.8,1.5,17.4,True,-0.6581845723738144,-0.3783898618860551,-0.21112931717195477,-0.8033994880704552,-0.7362978611081127,0.24659470587540205,-0.7998096019358886,-0.7499173790709803,0.27987181524062593,0.7904172208416895,0.6831012783318676,-0.8070527406100285,-0.9902120349937582,-0.3910934098845005,0.3229124517834293,-0.34356039124238485,0.4748993793474531,1.9432110921683232
79,Tyrese Haliburton,66,28.7,5.0,2.2,0.44,4.0,3.32,0.83,1.8,4.9,5.4,2.16,1.4,0.4,2.5,12.3,False,-0.6443280550606815,0.7787656790498935,0.030890533692102505,-1.2583255855055941,-1.3286262210148327,-0.5771449583262358,0.5753087916115514,0.6648337497780923,0.6967236794282343,0.35636053723834543,-0.25165177983287185,1.1596466397818188,0.5915963276160796,1.3548593128141626,-0.47637579520525675,0.9288855022479304,-0.42014379680628366,0.9133883368439827
80,Buddy Hield,68,28.9,16.1,7.04,0.43700000000000006,1.9,1.65,0.866,3.2,4.4,2.6,1.3,0.9,0.3,2.0,17.7,True,-0.6304715377475486,1.3573434495178678,0.07489414294011285,1.2665142552594268,1.0021617968294962,-0.6265693381783333,-0.4942277367031242,-0.37140940161574604,1.1514711676328995,1.8755589298500495,-0.4548589663904239,-0.25234265896104596,-0.5811236653532829,-0.10010128943472332,-0.6761978569524283,0.29266255550277276,0.5275489779447319,1.1518464100079533
81,Kemba Walker,56,30.2,15.9,6.82,0.429,4.3,3.69,0.857,2.9,3.6,4.9,2.32,1.0,0.4,2.1,20.9,False,-0.6166150204344156,-2.114123173289978,0.36091760305218124,1.2210216455159129,0.8962168869274815,-0.7583676844505963,0.7280997242279335,0.8944205557755296,1.0377842955817334,1.550016417147541,-0.7799904648825073,0.9075056935777358,0.8097767914243326,0.19089083101505383,-0.47637579520525675,0.4199071448518044,1.089144696315704,2.3407008442476034
82,Donte DiVincenzo,65,29.2,7.7,3.54,0.46,1.3,1.0,0.769,2.1,6.1,2.9,1.93,1.7,0.4,1.5,12.2,False,-0.6027585031212828,0.4894767938159063,0.14089955681212873,-0.6441753539681566,-0.6833254061571054,-0.2476490926455803,-0.7998096019358886,-0.7747375743139465,-0.07382067558522483,0.6819030499408534,0.23604546790525283,-0.1010580912385963,0.27796191089171496,2.227835674163494,-0.47637579520525675,-0.34356039124238485,-0.4376936630053768,2.15274726557195
83,Mason Plumlee,63,28.2,4.7,2.84,0.605,2.5,1.33,0.53,0.0,8.5,3.7,1.77,1.0,1.2,2.1,11.1,False,-0.5889019858081498,-0.08910097665206798,-0.07911848942792374,-1.3265645001208648,-1.0204228467544256,2.1411959335391697,-0.18864587147035972,-0.5699709635594754,-3.092838722277305,-1.5968945389767024,1.211439963381503,0.3023674226879366,0.059781447083461586,0.19089083101505383,1.1222006987721151,0.4199071448518044,-0.6307421911953985,-0.772287747905432
84,Aaron Gordon,60,33.3,12.4,5.44,0.439,3.6,2.5,0.695,1.6,7.6,3.5,1.94,0.8,0.7,1.8,17.0,True,-0.5750454684950168,-0.9569676323540294,1.0429735463963434,0.42490097500441976,0.2316533611784786,-0.5936197516102686,0.3715875481230418,0.15601974729728552,-1.0085794013392588,0.1393321954366735,0.845667027577909,0.2015110442063033,0.2915981898797308,-0.3910934098845005,0.12309039003625763,0.03817337680470977,0.4046999145510818,-0.3171653678305123
85,Dejounte Murray,64,27.5,9.7,4.52,0.466,1.7,1.3,0.765,0.5,6.6,4.3,2.05,1.8,0.4,2.1,11.3,True,-0.5611889511818839,0.20018790858191915,-0.23313112179596032,-0.18924925653301794,-0.2113889893208571,-0.14880033294138365,-0.596088358447379,-0.5885861099917,-0.12434817427463207,-1.0543236844725226,0.43925265446280487,0.604936558132836,0.44159725874790484,2.518827794613272,-0.47637579520525675,0.4199071448518044,-0.5956424587972126,0.7436194166661012
86,Jaylen Brown,60,34.4,15.6,7.57,0.485,4.3,3.09,0.718,2.1,6.2,2.1,0.95,1.1,0.4,2.2,19.8,True,-0.547332433868751,-0.9569676323540294,1.2849933972604015,1.1527827309006418,1.257392716138896,0.16422073945523818,0.7280997242279335,0.5221176271310367,-0.7180462838751672,0.6819030499408534,0.2766869052167635,-0.5044836051651289,-1.0583934299338376,0.48188295146483134,-0.47637579520525675,0.5471517342008361,0.8960961681256827,0.25473239575698015
87,Caris LeVert,63,31.4,16.3,6.88,0.42200000000000004,4.4,3.12,0.71,1.7,4.4,4.6,1.84,1.3,0.3,2.5,17.4,False,-0.533475916555618,-0.08910097665206798,0.624939258540244,1.3120068650029406,0.9251109532643944,-0.8736912374388249,0.7790300351000612,0.5407327735632614,-0.8191012812539817,0.24784636633750934,-0.4548589663904239,0.7562211258552857,0.15523539999957256,1.0638671923643856,-0.6761978569524283,0.9288855022479304,0.4748993793474531,-1.2099007803789557
88,Tyler Herro,65,31.5,11.5,4.96,0.431,1.8,1.54,0.8540000000000001,2.9,4.6,3.1,1.73,0.9,0.2,1.8,17.3,True,-0.5196193992424851,0.4894767938159063,0.6469410631642496,0.2201842311586072,0.0005008304831730209,-0.7254180978825309,-0.5451580475752515,-0.439664938533903,0.9998886715646792,1.550016417147541,-0.37357609176740336,-0.0002017127569630202,0.005236331131398172,-0.10010128943472332,-0.8760199186995998,0.03817337680470977,0.45734951314836053,0.8937641145146505
89,Markelle Fultz,63,31.7,10.7,5.14,0.48,2.2,1.63,0.743,0.6,3.8,5.8,2.52,1.4,0.2,2.3,13.8,True,-0.5057628819293521,-0.08910097665206798,0.69094467241226,0.038213792184551496,0.08718302949391239,0.0818467730350743,-0.3414368040867418,-0.38381949923722913,-0.40224941706637196,-0.9458095135716865,-0.6987075902594866,1.3613593967450848,1.0825023711846498,1.3548593128141626,-0.8760199186995998,0.6743963235498671,-0.1568958038198904,-0.9560130843725807
90,Myles Turner,60,29.7,9.5,4.44,0.467,2.7,2.03,0.75,1.2,6.9,1.3,1.0,0.8,2.3,1.3,12.7,True,-0.4919063646162192,-0.9569676323540294,0.250908579932155,-0.23474186627653165,-0.2499144111034076,-0.13232553965735086,-0.08678524972610481,-0.1356175468075673,-0.3138262943599093,-0.29472448816667063,0.5611769663973364,-0.9079091190916617,-0.9902120349937582,-0.3910934098845005,3.3202433779910017,-0.5980495699404479,-0.3499443320099124,2.0896467311587807
91,Andrew Wiggins,67,33.8,18.1,8.18,0.452,5.0,3.73,0.746,1.6,4.7,2.8,1.4,0.9,0.8,2.0,17.6,True,-0.4780498473030863,1.0680545642838806,1.1529825695163698,1.7214403526945659,1.5511490572308464,-0.3794474389178425,1.0846119003328254,0.9192407510184958,-0.36435379304931653,0.1393321954366735,-0.3329346544558927,-0.15148628047941293,-0.4447608754731247,-0.10010128943472332,0.3229124517834293,0.29266255550277276,0.5099991117456394,-0.6487422528742186
92,Jaren Jackson Jr.,58,29.6,13.2,6.24,0.473,3.3,2.47,0.747,2.4,5.0,1.4,0.78,0.8,1.7,1.8,17.6,True,-0.46419332998995333,-1.5355454028220037,0.2289067753081502,0.6068714139784751,0.6169075790039874,-0.03347677995315513,0.21879661550665944,0.137404600865061,-0.3517219183769647,1.0074455626433612,-0.21101034252136155,-0.8574809298508452,-1.2902101727301067,-0.3910934098845005,2.1213110075079724,0.03817337680470977,0.5099991117456394,1.7557989245054362
93,Brook Lopez,66,26.8,9.9,4.4,0.444,2.2,1.75,0.797,1.7,4.5,1.5,1.36,0.6,2.2,1.1,11.8,False,-0.4503368126768204,0.7787656790498935,-0.3871437541639969,-0.1437566467895038,-0.269177121994683,-0.5112457851901048,-0.3414368040867418,-0.3093589135083305,0.27987181524062593,0.24784636633750934,-0.4142175290789136,-0.8070527406100285,-0.4993059914251878,-0.9730776507840552,3.120421316243831,-0.8525387486385109,-0.5078931278017481,1.287191412995627
94,Marcus Smart,62,32.4,11.4,4.4,0.386,2.5,2.03,0.813,2.2,3.7,4.9,2.71,1.7,0.5,1.8,12.5,False,-0.4364802953636875,-0.3783898618860551,0.8449573047802965,0.19743792628685033,-0.269177121994683,-1.4667837956640049,-0.18864587147035972,-0.1356175468075673,0.4819818099982535,0.7904172208416895,-0.7393490275709969,0.9075056935777358,1.3415916719569505,2.227835674163494,-0.2765537334580853,0.03817337680470977,-0.385044064408098,1.5018364006752782
95,Danilo Gallinari,60,31.2,13.2,5.89,0.446,4.8,4.3,0.8959999999999999,2.7,5.8,2.3,1.64,0.7,0.2,1.4,19.5,False,-0.42262377805055457,-0.9569676323540294,0.5809356492922337,0.6068714139784751,0.44835885870532705,-0.47829619862203915,0.9827512785885705,1.2729285332307638,1.5304274078034525,1.3329880753458694,0.11412115597072167,-0.4036272266834959,-0.11749017976074451,-0.682085530334278,-0.8760199186995998,-0.4708049805914165,0.8434465695284039,1.8517593149004514
96,Brandon Clarke,63,24.9,8.3,5.05,0.609,1.9,1.51,0.794,0.5,6.7,1.6,1.46,0.6,1.0,1.1,13.5,False,-0.4087672607374216,-0.08910097665206798,-0.8051780420200971,-0.5076975247376148,0.04384192998854271,2.2070951066753004,-0.4942277367031242,-0.4582800849661276,0.24197619122357047,-1.0543236844725226,0.4798940917743155,-0.7566245513692119,-0.36294320154502957,-0.9730776507840552,0.7225565752777723,-0.8525387486385109,-0.20954540241716918,1.5104894245465106
97,Obi Toppin,67,30.8,6.5,3.24,0.499,1.1,0.78,0.71,1.4,6.1,1.7,0.81,0.8,1.1,2.1,14.9,False,-0.39491074342428867,1.0680545642838806,0.492928430796213,-0.9171310124292399,-0.827795737841671,0.39486784543169706,-0.9016702236801434,-0.9112486481502605,-0.8191012812539817,-0.07769614636499868,0.23604546790525283,-0.7061963621283954,-1.2493013357660592,-0.3910934098845005,0.9223786370249439,0.4199071448518044,0.036152724370131256,-0.8245496697516557
98,Lauri Markkanen,60,33.9,11.8,5.05,0.428,3.1,2.61,0.843,2.4,8.1,1.6,0.94,0.8,0.6,1.7,17.7,True,-0.38105422611115575,-0.9569676323540294,1.1749843741403752,0.2884231457738782,0.04384192998854271,-0.7748424777346291,0.11693599376240477,0.22427528421544246,0.8609380501688079,1.0074455626433612,1.048874214135461,-0.7566245513692119,-1.0720297089218533,-0.3910934098845005,-0.07673167171091384,-0.08907121254432186,0.5275489779447319,1.5345859067374283
99,Collin Sexton,66,34.5,16.7,7.58,0.45399999999999996,4.1,3.46,0.845,1.6,3.2,3.1,1.24,0.9,0.1,2.5,20.3,False,-0.3671977087980228,0.7787656790498935,1.306995201884407,1.4029920844899681,1.2622083938617148,-0.34649785234977787,0.6262391024836785,0.751704433128474,0.8862017995135115,0.1393321954366735,-0.942556214128549,-0.0002017127569630202,-0.662941339281378,-0.10010128943472332,-1.0758419804467714,0.9288855022479304,0.983845499121147,-1.384705057293383
100,Evan Fournier,65,31.7,14.1,6.44,0.457,3.3,2.71,0.8220000000000001,2.4,2.9,3.3,1.73,1.0,0.2,1.9,17.4,False,-0.35334119148488985,0.4894767938159063,0.69094467241226,0.8115881578242876,0.7132211334603648,-0.2970734724976786,0.21879661550665944,0.286325772322858,0.5956686820494212,1.0074455626433612,-1.0644805260630803,0.10065466572467004,0.005236331131398172,0.19089083101505383,-0.8760199186995998,0.16541796615374113,0.4748993793474531,-0.03343276263414055
101,Ivica Zubac,68,23.8,5.4,3.2,0.5920000000000001,2.3,1.75,0.7609999999999999,0.0,9.2,1.4,1.27,0.3,1.2,1.1,10.7,False,-0.33948467417175693,1.3573434495178678,-1.0471978928841543,-1.1673403660185662,-0.8470584487329466,1.9270236208467453,-0.29050649321461464,-0.3093589135083305,-0.17487567296404072,-1.5968945389767024,1.4959300245620755,-0.8574809298508452,-0.6220325023173304,-1.846054012133387,1.1222006987721151,-0.8525387486385109,-0.70094165599177,0.22144628290270107
102,Joe Ingles,68,30.7,7.7,3.43,0.446,1.3,0.97,0.747,2.1,4.0,5.3,2.52,1.0,0.2,2.1,10.8,False,-0.325628156858624,1.3573434495178678,0.4709266261722075,-0.6441753539681566,-0.7362978611081127,-0.47829619862203915,-0.7998096019358886,-0.7933527207461711,-0.3517219183769647,0.6819030499408534,-0.6174247156364657,1.1092184505410019,1.0825023711846498,0.19089083101505383,-0.8760199186995998,0.4199071448518044,-0.683391789792677,-1.4447493544826415
103,Spencer Dinwiddie,65,27.1,16.0,6.69,0.418,7.0,5.51,0.787,1.7,2.8,5.5,2.61,0.6,0.3,2.1,16.3,False,-0.3117716395454911,0.4894767938159063,-0.321138340291981,1.2437679503876697,0.8336130765308363,-0.9395904105749568,2.103218117775373,2.023739439330491,0.1535530685171078,0.24784636633750934,-1.1051219633745908,1.210074829022635,1.205228882076792,-0.9730776507840552,-0.6761978569524283,0.4199071448518044,0.2818508511574317,-2.220569911503152
104,Kevin Love,56,30.3,13.0,5.77,0.444,3.9,3.38,0.867,2.5,9.8,2.7,1.23,0.6,0.3,2.2,17.5,False,-0.2979151222323581,-2.114123173289978,0.38291940767618676,0.5613788042349613,0.3905707260315006,-0.5112457851901048,0.524378480739424,0.7020640426425416,1.1641030423052514,1.1159597335441973,1.7397786484311386,-0.20191446972022936,-0.6765776182693939,-0.9730776507840552,-0.6761978569524283,0.5471517342008361,0.4924492455465462,1.60270317297948
105,Richaun Holmes,63,25.2,7.8,5.04,0.6459999999999999,2.7,2.12,0.787,0.0,7.3,1.0,0.91,0.9,1.3,1.1,11.3,False,-0.2840586049192252,-0.08910097665206798,-0.7391726281480812,-0.6214290490963997,0.03902625226572395,2.8166624581845117,-0.08678524972610481,-0.0797721075108932,0.1535530685171078,-1.5968945389767024,0.7237427156433779,-1.0591936868141116,-1.1129385458859007,-0.10010128943472332,1.322022760519287,-0.8525387486385109,-0.5956424587972126,2.5166877774800454
106,Otto Porter Jr.,55,32.5,10.0,4.72,0.47200000000000003,1.9,1.5,0.7909999999999999,2.0,6.0,2.3,2.08,1.5,0.6,1.1,15.3,False,-0.27020208760609227,-2.403412058523965,0.8669591094043021,-0.12101034191774694,-0.11507543486447977,-0.04995157323718699,-0.4942277367031242,-0.4644851337768692,0.20408056720651363,0.5733888790400173,0.19540403059374256,-0.4036272266834959,0.48250609571195274,1.64585143326394,-0.07673167171091384,-0.8525387486385109,0.10635218916650285,3.0473053762776305
107,Serge Ibaka,63,27.3,12.2,6.31,0.517,2.3,1.74,0.758,1.1,7.8,1.3,0.77,0.4,1.1,1.7,14.9,False,-0.2563455702929593,-0.08910097665206798,-0.27713473104397063,0.37940836526090566,0.6506173230637192,0.691414124544287,-0.29050649321461464,-0.315563962319072,-0.21277129698109476,-0.40323865906750644,0.9269499022009299,-0.9079091190916617,-1.3038464517181225,-1.5550618916836094,0.9223786370249439,-0.08907121254432186,0.036152724370131256,-0.4130143661392584
108,Coby White,67,31.5,12.2,4.94,0.405,2.0,1.62,0.8079999999999999,2.6,4.3,3.3,1.74,0.9,0.1,1.9,16.6,True,-0.24248905297982637,1.0680545642838806,0.6469410631642496,0.37940836526090566,-0.009130524962464498,-1.1537627232673822,-0.44329742583099674,-0.39002454804797054,0.41882243663649443,1.2244739044450335,-0.49550040370193454,0.10065466572467004,0.018872610119414025,-0.10010128943472332,-1.0758419804467714,0.16541796615374113,0.3345004497547105,-0.9121729064436442
109,Jarrett Allen,64,26.2,6.6,4.08,0.618,3.9,2.61,0.67,0.0,8.9,1.3,1.08,0.5,1.4,1.2,10.9,False,-0.22863253566669345,0.20018790858191915,-0.5191545819080287,-0.8943847075574831,-0.42327880912488675,2.3553682462315955,0.524378480739424,0.22427528421544246,-1.3243762681480529,-1.5968945389767024,1.3740057126275447,-0.9079091190916617,-0.8811218030896314,-1.2640697712338322,1.521844822266458,-0.7252941592894795,-0.6658419235935842,0.2174213193712442
