Rank,Name,Gs,MPG,FGA,FGM,FG%,FTA,FTM,FT%,3PM,REB,AST,ATO,STL,BLK,TOV,PTS,Taken,Rank_zscore,Gs_zscore,MPG_zscore,FGA_zscore,FGM_zscore,FG%_zscore,FTA_zscore,FTM_zscore,FT%_zscore,3PM_zscore,REB_zscore,AST_zscore,ATO_zscore,STL_zscore,BLK_zscore,TOV_zscore,PTS_zscore,SUM_zscore
13,Jayson Tatum,64,35.5,18.6,8.43,0.45299999999999996,4.7,3.85,0.8190000000000001,3.1,7.1,3.7,1.68,1.5,1.0,2.2,26.6,True,-1.5588581977274554,0.20018790858191915,1.5270132481244596,1.8351718770533505,1.671541000301318,-0.36297264563381065,0.9318209677164433,0.9937013367473944,0.5577730580323658,1.7670447589492133,0.6424598410203569,0.3023674226879366,-0.06294506380868109,1.64585143326394,0.7225565752777723,0.5471517342008361,2.089487069663999,6.817415779060937
14,Russell Westbrook,63,33.7,22.5,10.4,0.462,6.7,5.04,0.752,1.1,8.2,8.5,2.02,1.6,0.3,4.2,24.8,True,-1.5450016804143223,-0.08910097665206798,1.1309807648923658,2.722277767051871,2.620229511696634,-0.21469950607751476,1.9504271851589914,1.7321021452256384,-0.2885625450152056,-0.40323865906750644,1.0895156514469713,2.722920506247133,0.4006884217838576,1.9368435537137174,-0.6761978569524283,3.0920435211814667,1.773589478080327,2.848127101194027
15,Joel Embiid,62,32.4,15.7,7.52,0.479,8.5,6.83,0.8029999999999999,1.2,12.6,3.4,1.0,0.8,1.9,3.4,25.5,True,-1.5311451631011894,-0.3783898618860551,0.8449573047802965,1.1755290357723986,1.2333143275248015,0.06537197975104153,2.867172780857284,2.8428058823483755,0.3556630632747354,-0.29472448816667063,2.87773889315343,0.15108285496548668,-0.9902120349937582,-0.3910934098845005,2.520955131002316,2.074086806389214,1.896438541473977,5.107345759180603
16,Devin Booker,66,35.7,18.3,8.82,0.48200000000000004,7.3,6.48,0.888,2.5,4.2,6.4,1.6,0.9,0.3,4.0,29.3,True,-1.5172886457880566,0.7787656790498935,1.5710168573724708,1.7669329624380794,1.8593524314912537,0.11479635960314077,2.256009050391756,2.625629173972422,1.4293724104246395,1.1159597335441973,-0.5361418410134448,1.6639285321899846,-0.17203529571280762,-0.10010128943472332,-0.6761978569524283,2.8375543424834038,2.5633334570395068,2.7373951629174695
17,Bradley Beal,67,34.6,22.9,10.85,0.474,8.0,6.69,0.836,2.8,4.2,4.7,1.51,1.2,0.4,3.1,28.7,True,-1.5034321284749235,1.0680545642838806,1.3289970065084127,2.8132629865388985,2.8369350092234824,-0.01700198666912235,2.6125212264966473,2.7559351989979937,0.7725149274623452,1.441502246246705,-0.5361418410134448,0.8066493150961025,-0.29476180660495027,0.7728750719146081,-0.47637579520525675,1.6923530383421197,2.458034259844949,3.5297031593347663
18,Pascal Siakam,66,35.8,18.4,8.7,0.473,5.1,4.03,0.79,1.9,8.2,3.5,1.46,1.1,1.0,2.4,25.2,True,-1.4895756111617906,0.7787656790498935,1.5930186619964746,1.7896792673098358,1.801564298817427,-0.03347677995315513,1.1355422112049527,1.1053922153407423,0.19144869253416322,0.46487470813918125,1.0895156514469713,0.2015110442063033,-0.36294320154502957,0.48188295146483134,0.7225565752777723,0.8016409128988987,1.8437889428766983,4.160460873093868
19,Shai Gilgeous-Alexander,64,37.0,14.5,6.9,0.47600000000000003,5.1,4.15,0.813,1.6,6.2,5.7,2.85,1.2,0.8,2.0,22.8,True,-1.4757190938486577,0.20018790858191915,1.8570403174845382,0.9025733773113155,0.9347423087100324,0.015947599898944113,1.1355422112049527,1.179852801069641,0.4819818099982535,0.1393321954366735,0.2766869052167635,1.3109312075042685,1.5324995777891726,0.7728750719146081,0.3229124517834293,0.29266255550277276,1.4225921540984692,4.450596840348638
20,Jimmy Butler,66,34.4,13.1,6.12,0.467,9.1,7.71,0.847,1.1,6.0,5.2,2.74,1.8,0.5,1.9,21.2,True,-1.4618625765355246,0.7787656790498935,1.2849933972604015,0.5841251091067182,0.5591194463301611,-0.13232553965735086,3.1727546460900484,3.388850177693631,0.9114655488582151,-0.40323865906750644,0.19540403059374256,1.0587902613001854,1.3825005089209985,2.518827794613272,-0.2765537334580853,0.16541796615374113,1.141794294912983,4.848746031941714
21,Andre Drummond,67,32.4,13.8,7.34,0.532,5.2,3.04,0.585,0.1,15.1,2.2,0.78,1.4,1.6,2.8,16.6,True,-1.4480060592223918,1.0680545642838806,0.8449573047802965,0.7433492432090171,1.1466321285140622,0.9385360238047786,1.1864725220770802,0.49109238307732905,-2.398085615297957,-1.4883803680758663,3.8937748259411897,-0.4540554159243123,-1.2902101727301067,1.3548593128141626,1.9214889457608015,1.3106192702950248,0.3345004497547105,2.792018888482483
22,Kyrie Irving,60,32.8,20.8,10.09,0.485,5.1,4.55,0.893,2.7,4.8,6.4,2.56,1.4,0.3,2.5,24.9,True,-1.434149541909259,-0.9569676323540294,0.9329645232763172,2.335590584232003,2.470943502289249,0.16422073945523818,1.1355422112049527,1.4280547534993024,1.4925317837863985,1.3329880753458694,-0.29229321714438244,1.6639285321899846,1.137047487136713,1.3548593128141626,-0.6761978569524283,0.9288855022479304,1.7911393442794195,5.9022912115263315
